"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price"
"70","92%",TRUE,"Private room in rental unit","within an hour",223,4.87,336,4.94,4.77,1,699
"71","0%",FALSE,"Entire rental unit","N/A",119,4.88,0,4.9,4.8,2,1362
"72","75%",TRUE,"Entire rental unit","within a few hours",189,4.6,296,4.85,4.64,1,1200
"73","100%",TRUE,"Entire serviced apartment","within an hour",147,4.71,188,4.44,4.73,1,796
"74","85%",TRUE,"Entire rental unit","within a few hours",1,5,0,5,5,1,2269
"75","100%",TRUE,"Tiny home","within an hour",491,4.92,312,4.93,4.79,1,1556
"76","100%",TRUE,"Entire rental unit","within an hour",46,4.73,167,4.44,4.73,2,545
"77","0%",FALSE,"Private room in condo","within a day",107,4.85,162,4.93,4.78,1,457
"78","100%",TRUE,"Entire loft","within an hour",274,4.82,288,4.93,4.88,1.5,1448
"79","100%",TRUE,"Private room in home","within an hour",204,4.83,120,4.74,4.84,1,327
"80","100%",TRUE,"Entire condo","within an hour",428,4.92,313,4.96,4.87,1,1362
"81","100%",TRUE,"Entire home","within an hour",71,4.96,179,4.97,4.91,2.5,1949
"82","93%",TRUE,"Private room in rental unit","within an hour",132,4.72,365,4.87,4.75,1,713
"83","71%",TRUE,"Entire home","within an hour",20,5,331,4.95,4.68,4.5,6354
"84","100%",TRUE,"Private room in home","within an hour",51,4.9,253,4.94,4.86,1,327
"85","100%",TRUE,"Private room in condo","within an hour",120,4.8,90,4.89,4.81,1,529
"86","100%",TRUE,"Private room in home","within an hour",17,4.76,0,4.56,4.75,1,272
"87","88%",TRUE,"Private room in rental unit","within a day",13,4.23,114,4.92,4.62,1,450
"88","100%",TRUE,"Entire rental unit","N/A",337,4.84,184,4.91,4.81,1,1398
"89","N/A",FALSE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,1006
"90","100%",TRUE,"Private room in condo","within a few hours",28,4.96,364,4.93,4.71,1,896
"91","86%",TRUE,"Private room in guest suite","within a day",152,4.97,292,4.97,4.94,1,1036
"92","100%",TRUE,"Private room in rental unit","N/A",2,5,364,5,5,1,500
"93","99%",TRUE,"Entire rental unit","within an hour",35,4.91,344,4.94,4.88,2,1452
"94","88%",TRUE,"Private room in rental unit","within a day",17,4.75,365,4.88,4.82,1,400
"95","100%",TRUE,"Entire rental unit","within an hour",217,4.88,162,4.99,4.87,1,1400
"96","99%",TRUE,"Entire loft","within an hour",418,4.51,142,4.76,4.47,1,615
"97","46%",TRUE,"Private room in bed and breakfast","within a day",51,4.73,365,4.98,4.47,6,14143
