,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
0,0,21.0,4.95,324,5.0,4.86,1.5,1434.0,1,0%,False,Entire loft,within a day
21,21,0.0,4.75,88,4.83,4.71,1.0,1244.0,22,0%,False,Private room,within a few hours
61,61,0.0,4.75,0,4.83,4.71,1.0,1815.0,62,0%,False,Entire rental unit,No information
68,68,0.0,4.75,365,4.83,4.71,1.0,545.0,69,0%,False,Private room in rental unit,No information
70,70,20.2,4.88,0,4.9,4.8,2.0,1362.0,71,0%,False,Entire rental unit,No information
76,76,20.2,4.85,162,4.93,4.78,1.0,457.0,77,0%,False,Private room in condo,within a day
88,88,0.0,4.75,365,4.83,4.71,1.0,1006.0,89,0%,False,Private room in rental unit,No information
107,107,17.0,5.0,137,4.9,4.81,1.0,381.0,108,0%,False,Private room in rental unit,No information
111,111,2.0,4.8,365,4.9,4.8,1.0,457.0,112,0%,False,Private room in rental unit,No information
129,129,0.0,4.75,365,4.83,4.71,1.0,350.0,130,0%,False,Private room in rental unit,No information
141,141,26.0,5.0,139,4.9,4.77,1.0,381.0,142,0%,False,Private room in rental unit,No information
148,148,1.0,5.0,335,5.0,5.0,1.0,566.0,149,100%,False,Private room in rental unit,No information
174,174,0.0,4.75,365,4.83,4.71,1.0,1815.0,175,0%,False,Shared room in rental unit,No information
182,182,0.0,4.75,365,4.83,4.71,1.0,650.0,183,0%,False,Private room in rental unit,a few days or more
183,183,0.0,4.75,364,4.83,4.71,1.0,1500.0,184,0%,False,Private room in condo,No information
190,190,0.0,4.75,365,4.83,4.71,1.0,1171.0,191,0%,False,Private room in rental unit,No information
197,197,20.2,4.8,248,4.95,4.7,1.0,988.0,198,100%,False,Entire rental unit,within an hour
206,206,6.0,5.0,363,4.6,4.8,1.0,1372.0,207,100%,False,Private room in home,No information
220,220,0.0,4.75,365,4.83,4.71,1.0,1062.7,221,0%,False,Private room in rental unit,No information
233,233,89.0,4.7,356,4.96,4.61,1.0,1149.0,234,94%,False,Entire rental unit,within an hour
236,236,43.0,4.78,334,4.85,4.54,1.0,1191.0,237,94%,False,Entire rental unit,within an hour
237,237,3.0,5.0,365,5.0,5.0,2.0,376.0,238,0%,False,Private room in home,a few days or more
238,238,34.0,4.91,365,4.88,4.53,1.0,1093.0,239,94%,False,Entire rental unit,within an hour
239,239,28.0,4.57,359,4.82,4.46,2.0,1278.0,240,94%,False,Entire rental unit,within an hour
240,240,29.0,4.93,362,4.93,4.79,1.0,1093.0,241,94%,False,Entire rental unit,within an hour
241,241,55.0,4.85,183,4.71,4.6,1.0,1581.0,242,94%,False,Entire rental unit,within an hour
258,258,41.0,4.98,337,4.83,4.78,1.0,1072.0,259,94%,False,Entire rental unit,within an hour
265,265,45.0,4.89,352,5.0,4.91,1.0,1097.0,266,0%,False,Entire rental unit,within a day
268,268,13.0,5.0,326,5.0,4.92,1.0,1434.0,269,0%,False,Entire loft,within a day
272,272,39.0,4.97,362,4.95,4.9,1.0,782.0,273,94%,False,Entire loft,within an hour
285,285,104.0,4.91,354,4.94,4.73,1.0,956.0,286,94%,False,Entire rental unit,within an hour
292,292,0.0,4.75,365,4.83,4.71,1.0,454.0,293,0%,False,Private room in rental unit,No information
294,294,0.0,4.75,364,4.83,4.71,1.0,1062.7,295,0%,False,Private room in home,No information
297,297,4.0,4.5,365,4.75,4.75,1.0,690.0,298,50%,False,Private room in rental unit,No information
304,304,86.0,4.54,365,4.61,4.68,1.0,672.0,305,92%,False,Entire rental unit,within an hour
305,305,0.0,4.75,365,4.83,4.71,1.0,998.0,306,100%,False,Private room in bed and breakfast,a few days or more
314,314,3.0,5.0,252,5.0,5.0,1.0,476.0,315,0%,False,Private room in rental unit,within a day
351,351,68.0,4.97,303,4.91,4.92,1.0,969.0,352,0%,False,Entire loft,a few days or more
354,354,20.2,4.84,0,4.74,4.79,1.0,786.0,355,0%,False,Entire rental unit,No information
358,358,57.0,4.77,272,4.91,4.73,1.0,750.0,359,99%,False,Entire rental unit,within an hour
359,359,11.0,4.82,365,4.9,4.73,1.0,1829.0,360,100%,False,Private room in home,within a few hours
