,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
2,2,39.0,4.71,87,4.58,4.71,2.0,1469.0,3,90%,True,Entire rental unit,within an hour
21,21,0.0,4.75,88,4.83,4.71,1.0,1244.0,22,0%,False,Private room,within a few hours
26,26,20.2,4.92,88,4.87,4.95,3.0,2049.0,27,95%,True,Entire rental unit,within an hour
37,37,101.0,4.65,0,4.92,4.5,1.0,1062.7,38,100%,True,Entire rental unit,within a few hours
38,38,24.0,4.58,0,5.0,4.63,2.0,1062.7,39,100%,True,Entire loft,within a few hours
39,39,67.0,4.81,26,4.96,4.67,1.0,1900.0,40,100%,True,Entire rental unit,within a few hours
61,61,0.0,4.75,0,4.83,4.71,1.0,1815.0,62,0%,False,Entire rental unit,No information
70,70,20.2,4.88,0,4.9,4.8,2.0,1362.0,71,0%,False,Entire rental unit,No information
73,73,1.0,5.0,0,5.0,5.0,1.0,2269.0,74,85%,True,Entire rental unit,within a few hours
84,84,20.2,4.8,90,4.89,4.81,1.0,529.0,85,100%,True,Private room in condo,within an hour
85,85,17.0,4.76,0,4.9,4.75,1.0,272.0,86,100%,True,Private room in home,within an hour
104,104,6.0,5.0,90,5.0,5.0,3.5,1062.7,105,100%,True,Entire home,within a day
106,106,20.2,4.6,80,4.95,4.86,1.0,700.0,107,100%,True,Private room in home,within an hour
108,108,21.0,4.89,2,4.95,4.68,1.0,908.0,109,100%,True,Private room in home,within a day
109,109,22.0,4.77,72,5.0,4.48,1.0,2500.0,110,100%,True,Entire condo,within a few hours
110,110,53.0,4.94,88,4.96,4.8,1.0,599.0,111,0%,True,Private room in rental unit,No information
112,112,85.0,4.79,30,4.91,4.81,2.0,1466.0,113,99%,True,Entire loft,within an hour
116,116,23.0,4.9,11,5.0,4.76,1.5,2559.0,117,50%,True,Entire rental unit,within a day
122,122,15.0,4.87,48,4.67,5.0,1.0,708.0,123,0%,True,Entire condo,No information
128,128,20.2,4.92,84,4.89,4.81,1.0,1947.0,129,93%,True,Entire rental unit,within an hour
142,142,1.0,5.0,16,5.0,4.8,1.0,2808.0,143,86%,True,Room in serviced apartment,within an hour
151,151,17.0,4.5,87,4.88,4.75,1.0,600.0,152,100%,True,Private room in rental unit,within an hour
158,158,10.0,4.8,62,4.6,4.9,1.0,540.0,159,0%,True,Private room in rental unit,within an hour
