,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
0,0,21.0,4.95,324,5.0,4.86,1.5,1434.0,1,0%,False,Entire loft,within a day
2,2,39.0,4.71,87,4.58,4.71,2.0,1469.0,3,90%,True,Entire rental unit,within an hour
4,4,64.0,4.7,357,4.98,4.48,1.5,1062.7,5,86%,True,Entire home,within an hour
5,5,78.0,4.71,240,5.0,4.83,2.0,2561.0,6,70%,True,Entire loft,within a few hours
9,9,20.2,4.69,270,4.9,4.75,1.5,2561.0,10,58%,True,Entire home,within a few hours
16,16,5.0,4.8,363,4.8,4.6,1.5,726.0,17,0%,True,Private room in rental unit,No information
17,17,5.0,4.6,284,4.9,4.4,1.5,375.0,18,0%,True,Private room in home,a few days or more
19,19,10.0,5.0,317,4.89,4.78,1.5,1062.7,20,99%,True,Entire loft,within an hour
24,24,4.0,5.0,336,5.0,5.0,1.5,549.0,25,100%,True,Private room in home,within an hour
26,26,20.2,4.92,88,4.87,4.95,3.0,2049.0,27,95%,True,Entire rental unit,within an hour
27,27,20.2,4.86,194,4.71,4.91,1.5,1062.7,28,100%,True,Entire home,within an hour
30,30,27.0,4.93,328,4.7,4.85,2.5,500.0,31,100%,True,Private room in home,No information
33,33,20.2,4.68,324,4.93,4.64,1.5,1434.0,34,0%,True,Entire loft,No information
35,35,44.0,4.68,155,4.89,4.7,1.5,1037.0,36,100%,True,Entire loft,within an hour
38,38,24.0,4.58,0,5.0,4.63,2.0,1062.7,39,100%,True,Entire loft,within a few hours
44,44,40.0,4.9,363,4.88,4.98,2.0,2800.0,45,100%,True,Entire rental unit,within a few hours
48,48,4.0,4.8,362,4.9,4.8,2.5,1062.7,49,94%,True,Entire home,within an hour
52,52,20.2,4.84,211,4.97,4.81,2.0,2269.0,53,0%,True,Entire rental unit,within a day
58,58,20.2,4.89,194,4.78,4.91,1.5,3014.0,59,100%,True,Entire home,within an hour
59,59,20.0,4.9,247,5.0,4.9,1.5,726.0,60,89%,True,Private room in rental unit,within a few hours
63,63,20.2,4.8,266,4.9,4.79,1.5,2561.0,64,58%,True,Entire home,within a few hours
70,70,20.2,4.88,0,4.9,4.8,2.0,1362.0,71,0%,False,Entire rental unit,No information
