,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
106,106,20.2,4.6,80,4.95,4.86,1.0,700.0,107,100%,True,Private room in home,within an hour
112,112,85.0,4.79,30,4.91,4.81,2.0,1466.0,113,99%,True,Entire loft,within an hour
113,113,20.2,4.94,234,4.96,4.87,1.5,2033.0,114,93%,True,Entire rental unit,within an hour
114,114,2.0,5.0,362,5.0,5.0,1.0,732.0,115,100%,True,Private room in home,within an hour
115,115,76.0,4.67,298,4.88,4.41,1.0,685.0,116,99%,True,Entire rental unit,within an hour
119,119,34.0,4.88,333,4.91,4.91,1.0,876.0,120,100%,True,Entire rental unit,within an hour
120,120,43.0,4.78,356,4.76,4.68,1.0,1489.0,121,74%,True,Entire loft,within an hour
123,123,20.2,4.76,365,4.87,4.67,1.0,1350.0,124,92%,True,Entire loft,within an hour
127,127,97.0,4.84,184,4.98,4.86,1.0,1237.0,128,95%,True,Entire rental unit,within an hour
128,128,20.2,4.92,84,4.89,4.81,1.0,1947.0,129,93%,True,Entire rental unit,within an hour
131,131,20.2,4.66,362,4.93,4.6,1.0,550.0,132,100%,True,Private room in guest suite,within an hour
133,133,20.2,4.84,318,4.9,4.71,1.5,3089.0,134,99%,True,Entire rental unit,within an hour
134,134,20.2,5.0,252,5.0,4.94,1.0,1271.0,135,100%,True,Private room in home,within an hour
135,135,26.0,5.0,347,5.0,4.91,2.0,2723.0,136,97%,True,Entire rental unit,within an hour
136,136,20.2,4.95,204,4.96,4.84,1.0,2934.0,137,100%,True,Entire rental unit,within an hour
137,137,20.2,4.95,329,5.0,4.87,1.0,2814.0,138,99%,True,Entire rental unit,within an hour
138,138,47.0,4.74,176,4.98,4.83,1.0,850.0,139,100%,True,Private room in condo,within an hour
140,140,1.0,5.0,209,5.0,5.0,1.0,400.0,141,100%,True,Private room in home,within an hour
142,142,1.0,5.0,16,5.0,4.8,1.0,2808.0,143,86%,True,Room in serviced apartment,within an hour
143,143,20.2,4.94,326,4.98,4.92,2.0,2941.0,144,91%,True,Entire rental unit,within an hour
150,150,42.0,4.8,364,4.73,4.8,1.0,545.0,151,100%,True,Private room in guesthouse,within an hour
151,151,17.0,4.5,87,4.88,4.75,1.0,600.0,152,100%,True,Private room in rental unit,within an hour
153,153,78.0,4.78,200,4.82,4.72,2.0,1362.0,154,100%,True,Entire condo,within an hour
154,154,20.2,4.88,209,4.84,4.78,1.0,980.0,155,64%,True,Entire loft,within an hour
155,155,20.2,4.95,146,4.95,4.85,1.0,1685.0,156,100%,True,Entire rental unit,within an hour
157,157,101.0,4.78,358,4.88,4.72,2.0,1346.0,158,96%,True,Entire rental unit,within an hour
158,158,10.0,4.8,62,4.6,4.9,1.0,540.0,159,0%,True,Private room in rental unit,within an hour
159,159,20.2,4.96,178,4.96,4.9,1.5,2564.0,160,94%,True,Entire serviced apartment,within an hour
162,162,34.0,4.7,332,4.61,4.73,1.0,594.0,163,99%,True,Entire rental unit,within an hour
164,164,91.0,4.89,11,4.9,4.94,2.0,1109.0,165,100%,True,Entire loft,within an hour
166,166,20.2,4.99,179,4.96,4.98,1.0,750.0,167,100%,True,Private room in serviced apartment,within an hour
171,171,20.2,4.63,358,4.73,4.72,1.0,1362.0,172,100%,True,Entire rental unit,within an hour
172,172,20.2,4.89,159,4.96,4.82,1.5,1232.0,173,99%,True,Entire rental unit,within an hour
176,176,20.2,4.83,325,4.94,4.76,1.0,1989.0,177,100%,True,Entire rental unit,within an hour
178,178,20.2,4.85,75,4.6,4.82,1.0,980.0,179,93%,True,Entire rental unit,within an hour
179,179,54.0,4.92,350,4.96,4.88,2.0,800.0,180,64%,True,Entire rental unit,within an hour
180,180,20.2,4.89,153,4.9,4.84,1.0,1943.0,181,98%,True,Entire rental unit,within an hour
186,186,25.0,5.0,365,4.92,4.92,1.0,2900.0,187,94%,True,Room in boutique hotel,within an hour
187,187,20.2,4.91,137,4.94,4.87,1.0,1757.0,188,98%,True,Entire rental unit,within an hour
188,188,37.0,4.92,134,4.78,4.92,1.0,788.0,189,100%,True,Entire condo,within an hour
189,189,34.0,4.94,149,4.91,4.85,1.0,1180.0,190,99%,True,Entire condo,within an hour
191,191,85.0,4.51,355,4.59,4.48,3.0,826.0,192,100%,True,Entire home,within an hour
192,192,20.2,4.7,322,4.92,4.76,2.0,1000.0,193,90%,True,Entire condo,within an hour
194,194,20.2,4.54,364,4.73,4.61,1.0,1130.0,195,90%,True,Entire rental unit,within an hour
197,197,20.2,4.8,248,4.95,4.7,1.0,988.0,198,100%,False,Entire rental unit,within an hour
198,198,20.2,4.94,136,4.93,4.94,1.5,1997.0,199,97%,True,Entire loft,within an hour
200,200,83.0,4.96,174,4.87,4.91,1.0,775.0,201,89%,True,Entire rental unit,within an hour
201,201,25.0,4.8,262,5.0,4.96,3.0,500.0,202,100%,True,Private room in rental unit,within an hour
203,203,33.0,4.97,365,4.97,4.88,1.0,2200.0,204,94%,True,Private room in bed and breakfast,within an hour
204,204,20.2,4.94,274,4.9,4.93,1.0,600.0,205,100%,True,Private room in rental unit,within an hour
205,205,44.0,4.95,355,4.95,4.84,1.0,1800.0,206,94%,True,Room in boutique hotel,within an hour
207,207,20.2,4.71,134,4.9,4.65,2.0,1000.0,208,100%,True,Entire condo,within an hour
208,208,45.0,4.93,302,5.0,4.95,2.5,1499.0,209,100%,True,Entire loft,within an hour
209,209,98.0,4.84,80,4.94,4.79,2.0,1062.7,210,100%,True,Entire rental unit,within an hour
213,213,20.2,4.79,259,4.78,4.83,2.0,1955.0,214,99%,True,Entire condo,within an hour
214,214,4.0,5.0,74,5.0,4.75,1.0,908.0,215,99%,True,Room in serviced apartment,within an hour
215,215,37.0,4.69,347,4.68,4.51,1.0,726.0,216,99%,True,Entire serviced apartment,within an hour
218,218,15.0,4.93,302,5.0,4.87,1.0,960.0,219,90%,True,Private room in rental unit,within an hour
223,223,92.0,4.77,316,4.92,4.71,1.0,793.0,224,100%,True,Entire bungalow,within an hour
224,224,20.2,4.91,58,4.88,4.68,1.0,2212.0,225,93%,True,Entire rental unit,within an hour
230,230,21.0,4.86,313,4.95,4.86,1.0,1452.0,231,93%,True,Entire rental unit,within an hour
231,231,85.0,4.93,316,4.93,4.78,1.0,450.0,232,47%,True,Private room in rental unit,within an hour
232,232,20.2,4.75,333,4.86,4.72,1.0,350.0,233,47%,True,Private room in rental unit,within an hour
233,233,89.0,4.7,356,4.96,4.61,1.0,1149.0,234,94%,False,Entire rental unit,within an hour
234,234,20.2,4.78,160,4.92,4.7,1.0,1927.0,235,100%,True,Entire loft,within an hour
235,235,20.2,4.84,50,4.95,4.86,1.0,908.0,236,90%,True,Entire condo,within an hour
236,236,43.0,4.78,334,4.85,4.54,1.0,1191.0,237,94%,False,Entire rental unit,within an hour
238,238,34.0,4.91,365,4.88,4.53,1.0,1093.0,239,94%,False,Entire rental unit,within an hour
239,239,28.0,4.57,359,4.82,4.46,2.0,1278.0,240,94%,False,Entire rental unit,within an hour
240,240,29.0,4.93,362,4.93,4.79,1.0,1093.0,241,94%,False,Entire rental unit,within an hour
241,241,55.0,4.85,183,4.71,4.6,1.0,1581.0,242,94%,False,Entire rental unit,within an hour
242,242,41.0,4.88,365,4.88,4.8,1.0,1800.0,243,94%,True,Room in boutique hotel,within an hour
245,245,20.2,4.8,365,4.95,4.7,1.0,545.0,246,100%,True,Entire guest suite,within an hour
246,246,20.2,4.98,315,4.92,4.86,1.5,1258.0,247,100%,True,Entire rental unit,within an hour
247,247,34.0,4.94,256,4.91,4.79,1.0,750.0,248,100%,True,Entire rental unit,within an hour
250,250,20.2,4.93,84,4.97,4.87,1.0,1866.0,251,100%,True,Entire loft,within an hour
254,254,57.0,4.86,272,4.96,4.86,2.0,1829.0,255,50%,True,Entire rental unit,within an hour
257,257,20.2,4.9,255,4.99,4.93,1.0,1826.0,258,100%,True,Entire rental unit,within an hour
258,258,41.0,4.98,337,4.83,4.78,1.0,1072.0,259,94%,False,Entire rental unit,within an hour
259,259,20.2,4.87,343,4.89,4.75,1.5,714.0,260,92%,True,Private room in rental unit,within an hour
262,262,50.0,4.94,221,4.76,4.94,2.0,830.0,263,100%,True,Private room in home,within an hour
263,263,20.2,4.94,237,4.96,4.93,2.0,1850.0,264,100%,True,Entire condo,within an hour
264,264,28.0,4.96,57,4.86,4.89,1.0,800.0,265,100%,True,Entire condo,within an hour
266,266,75.0,4.92,26,4.91,4.89,1.0,799.0,267,88%,True,Entire rental unit,within an hour
267,267,45.0,4.87,203,4.96,4.86,2.0,1388.0,268,100%,True,Entire condo,within an hour
272,272,39.0,4.97,362,4.95,4.9,1.0,782.0,273,94%,False,Entire loft,within an hour
273,273,20.2,4.98,79,4.94,4.86,2.5,3034.0,274,100%,True,Entire condo,within an hour
275,275,20.2,4.91,258,4.88,4.87,1.0,990.0,276,100%,True,Entire home,within an hour
280,280,20.2,4.8,362,4.93,4.72,2.0,3128.0,281,92%,True,Entire rental unit,within an hour
281,281,8.0,5.0,315,4.75,4.88,1.0,782.0,282,100%,True,Entire rental unit,within an hour
285,285,104.0,4.91,354,4.94,4.73,1.0,956.0,286,94%,False,Entire rental unit,within an hour
286,286,58.0,4.81,175,4.7,4.84,1.0,1006.0,287,99%,True,Entire serviced apartment,within an hour
288,288,20.2,4.96,297,4.92,4.91,1.0,1543.0,289,100%,True,Entire loft,within an hour
290,290,20.2,4.63,269,4.98,4.76,1.0,1199.0,291,100%,True,Entire condo,within an hour
291,291,20.2,4.95,343,4.89,4.91,1.0,1618.0,292,100%,True,Entire rental unit,within an hour
293,293,20.2,4.79,77,4.91,4.81,1.0,805.0,294,90%,True,Entire condo,within an hour
295,295,20.2,4.79,335,4.97,4.71,1.0,3071.0,296,77%,True,Private room in home,within an hour
298,298,20.2,4.55,49,4.91,4.71,1.0,358.0,299,98%,True,Private room in rental unit,within an hour
299,299,20.2,4.98,256,4.84,4.93,1.0,1829.0,300,100%,True,Entire condo,within an hour
300,300,81.0,4.8,363,4.9,4.51,1.0,447.0,301,100%,True,Entire rental unit,within an hour
301,301,20.2,4.87,308,4.92,4.83,1.0,1034.0,302,100%,True,Entire rental unit,within an hour
302,302,20.2,4.88,79,4.96,4.83,1.0,896.0,303,100%,True,Entire condo,within an hour
303,303,33.0,4.82,344,4.82,4.76,1.0,1271.0,304,99%,True,Entire rental unit,within an hour
304,304,86.0,4.54,365,4.61,4.68,1.0,672.0,305,92%,False,Entire rental unit,within an hour
306,306,20.2,4.91,208,4.83,4.84,2.5,1489.0,307,100%,True,Entire rental unit,within an hour
307,307,20.2,4.72,246,4.97,4.87,1.0,399.0,308,100%,True,Private room in home,within an hour
308,308,65.0,4.88,295,4.94,4.89,2.0,1111.0,309,80%,True,Entire home,within an hour
309,309,20.2,4.86,297,4.96,4.83,1.0,2233.0,310,100%,True,Entire condo,within an hour
310,310,88.0,4.78,332,4.96,4.86,1.0,880.0,311,99%,True,Entire rental unit,within an hour
311,311,56.0,4.75,347,4.98,4.71,1.0,726.0,312,99%,True,Entire rental unit,within an hour
315,315,8.0,5.0,87,4.75,5.0,1.0,817.0,316,100%,True,Private room in condo,within an hour
316,316,33.0,4.59,333,4.84,4.78,1.0,300.0,317,38%,True,Private room in tiny home,within an hour
317,317,47.0,4.74,345,4.63,4.46,2.0,2697.0,318,99%,True,Entire rental unit,within an hour
319,319,39.0,5.0,0,4.96,4.91,2.0,2141.0,320,99%,True,Entire condo,within an hour
320,320,67.0,4.9,365,4.8,4.84,1.0,908.0,321,75%,True,Entire guest suite,within an hour
321,321,77.0,4.7,171,4.9,4.71,1.0,998.0,322,100%,True,Entire rental unit,within an hour
323,323,8.0,5.0,364,5.0,5.0,1.0,1062.7,324,100%,True,Entire rental unit,within an hour
324,324,20.2,4.86,329,4.88,4.82,2.0,1062.7,325,99%,True,Entire rental unit,within an hour
329,329,20.2,4.66,344,4.96,4.8,1.0,341.0,330,100%,True,Private room in home,within an hour
330,330,27.0,4.64,90,5.0,4.76,1.0,630.0,331,100%,True,Private room in rental unit,within an hour
331,331,20.2,4.95,334,4.9,4.93,2.0,1235.0,332,95%,True,Entire rental unit,within an hour
332,332,20.2,4.76,89,4.88,4.72,1.0,2010.0,333,93%,True,Entire loft,within an hour
335,335,20.2,4.83,344,4.81,4.8,1.0,976.0,336,100%,True,Entire rental unit,within an hour
336,336,20.2,4.89,200,4.96,4.84,2.0,1770.0,337,100%,True,Entire condo,within an hour
339,339,95.0,4.95,318,4.99,4.91,1.5,2482.0,340,100%,True,Entire loft,within an hour
341,341,20.2,4.9,286,4.84,4.92,1.0,860.0,342,100%,True,Entire loft,within an hour
342,342,20.2,4.74,81,4.89,4.72,1.0,755.0,343,90%,True,Entire condo,within an hour
343,343,60.0,4.82,359,4.9,4.78,1.0,800.0,344,100%,True,Entire condo,within an hour
344,344,10.0,4.5,112,5.0,4.6,2.5,299.0,345,98%,True,Private room in rental unit,within an hour
345,345,20.2,4.9,189,4.87,4.8,3.0,1062.7,346,99%,True,Entire serviced apartment,within an hour
346,346,20.2,4.88,348,4.87,4.86,2.0,1364.0,347,100%,True,Entire rental unit,within an hour
348,348,20.2,4.85,201,4.89,4.86,1.5,1036.0,349,100%,True,Entire loft,within an hour
350,350,53.0,4.79,358,4.96,4.94,1.0,285.0,351,77%,True,Private room in rental unit,within an hour
355,355,16.0,5.0,0,4.93,4.8,2.0,1062.7,356,93%,True,Entire serviced apartment,within an hour
356,356,20.2,4.95,324,5.0,4.95,1.5,620.0,357,100%,True,Private room in bed and breakfast,within an hour
357,357,57.0,4.77,354,4.82,4.8,1.0,1271.0,358,99%,True,Entire rental unit,within an hour
358,358,57.0,4.77,272,4.91,4.73,1.0,750.0,359,99%,False,Entire rental unit,within an hour
360,360,20.2,4.84,73,4.88,4.75,1.0,779.0,361,90%,True,Entire condo,within an hour
361,361,50.0,4.92,263,4.98,4.96,1.0,750.0,362,99%,False,Entire rental unit,within an hour
364,364,55.0,4.83,0,4.96,4.67,2.0,1940.0,365,94%,False,Entire rental unit,within an hour
365,365,92.0,4.65,272,4.93,4.58,1.0,726.0,366,68%,True,Entire rental unit,within an hour
371,371,82.0,4.91,347,4.77,4.8,1.0,1011.0,372,100%,True,Entire rental unit,within an hour
378,378,22.0,4.91,26,4.95,4.77,1.0,729.0,379,88%,True,Entire rental unit,within an hour
382,382,20.2,4.92,15,4.98,4.88,2.0,1809.0,383,98%,True,Entire loft,within an hour
384,384,73.0,4.82,349,4.93,4.73,1.0,2600.0,385,100%,True,Room in boutique hotel,within an hour
391,391,50.0,4.9,309,4.74,4.86,2.0,1236.0,392,100%,True,Entire loft,within an hour
392,392,20.2,4.97,199,4.99,4.85,1.0,944.0,393,100%,True,Entire rental unit,within an hour
396,396,20.2,4.84,254,4.94,4.83,1.0,866.0,397,100%,True,Entire condo,within an hour
399,399,20.2,4.71,325,4.95,4.82,2.0,1017.0,400,91%,True,Entire serviced apartment,within an hour
404,404,20.2,4.78,245,4.91,4.92,2.0,853.0,405,85%,True,Entire rental unit,within an hour
406,406,20.2,4.96,321,4.93,4.89,1.0,1089.0,407,100%,True,Entire loft,within an hour
407,407,27.0,4.96,362,4.96,4.7,2.0,1441.0,408,94%,False,Entire rental unit,within an hour
408,408,15.0,4.6,365,4.87,4.47,1.0,637.0,409,100%,True,Entire guest suite,within an hour
410,410,101.0,4.85,178,4.94,4.72,2.0,1062.7,411,93%,True,Entire rental unit,within an hour
411,411,34.0,4.88,220,4.74,4.71,2.0,1006.0,412,100%,True,Private room in home,within an hour
