,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
10,10,20.2,4.96,153,4.95,4.91,1.0,1881.0,11,98%,True,Entire rental unit,within an hour
11,11,47.0,4.73,362,4.98,4.91,1.0,2088.0,12,73%,True,Entire rental unit,within a day
13,13,20.2,4.95,145,4.96,4.92,1.0,1097.0,14,100%,True,Entire rental unit,within a day
24,24,4.0,5.0,336,5.0,5.0,1.5,549.0,25,100%,True,Private room in home,within an hour
26,26,20.2,4.92,88,4.87,4.95,3.0,2049.0,27,95%,True,Entire rental unit,within an hour
27,27,20.2,4.86,194,4.71,4.91,1.5,1062.7,28,100%,True,Entire home,within an hour
28,28,20.2,4.97,295,4.96,4.95,1.0,1543.0,29,33%,True,Private room in townhouse,within a day
44,44,40.0,4.9,363,4.88,4.98,2.0,2800.0,45,100%,True,Entire rental unit,within a few hours
51,51,99.0,4.96,313,4.99,4.94,1.0,545.0,52,81%,True,Entire rental unit,within a few hours
53,53,31.0,4.94,332,4.97,4.97,1.0,1006.0,54,87%,True,Room in serviced apartment,within an hour
58,58,20.2,4.89,194,4.78,4.91,1.5,3014.0,59,100%,True,Entire home,within an hour
62,62,22.0,4.95,356,4.95,4.95,1.0,908.0,63,87%,True,Room in serviced apartment,within an hour
73,73,1.0,5.0,0,5.0,5.0,1.0,2269.0,74,85%,True,Entire rental unit,within a few hours
80,80,71.0,4.96,179,4.97,4.91,2.5,1949.0,81,100%,True,Entire home,within an hour
90,90,20.2,4.97,292,4.97,4.94,1.0,1036.0,91,86%,True,Private room in guest suite,within a day
91,91,2.0,5.0,364,5.0,5.0,1.0,500.0,92,100%,True,Private room in rental unit,No information
100,100,9.0,5.0,357,4.89,5.0,1.0,385.0,101,77%,True,Private room in rental unit,within a few hours
104,104,6.0,5.0,90,5.0,5.0,3.5,1062.7,105,100%,True,Entire home,within a day
114,114,2.0,5.0,362,5.0,5.0,1.0,732.0,115,100%,True,Private room in home,within an hour
119,119,34.0,4.88,333,4.91,4.91,1.0,876.0,120,100%,True,Entire rental unit,within an hour
122,122,15.0,4.87,48,4.67,5.0,1.0,708.0,123,0%,True,Entire condo,No information
125,125,2.0,5.0,250,5.0,5.0,2.5,1062.7,126,81%,True,Entire condo,within a few hours
134,134,20.2,5.0,252,5.0,4.94,1.0,1271.0,135,100%,True,Private room in home,within an hour
135,135,26.0,5.0,347,5.0,4.91,2.0,2723.0,136,97%,True,Entire rental unit,within an hour
139,139,27.0,4.85,331,4.8,4.96,1.0,240.0,140,73%,True,Private room in rental unit,within a few hours
140,140,1.0,5.0,209,5.0,5.0,1.0,400.0,141,100%,True,Private room in home,within an hour
143,143,20.2,4.94,326,4.98,4.92,2.0,2941.0,144,91%,True,Entire rental unit,within an hour
148,148,1.0,5.0,335,5.0,5.0,1.0,566.0,149,100%,False,Private room in rental unit,No information
164,164,91.0,4.89,11,4.9,4.94,2.0,1109.0,165,100%,True,Entire loft,within an hour
165,165,2.0,4.5,0,5.0,5.0,1.0,220.0,166,91%,True,Private room in home,within a day
166,166,20.2,4.99,179,4.96,4.98,1.0,750.0,167,100%,True,Private room in serviced apartment,within an hour
167,167,1.0,5.0,250,5.0,5.0,1.5,1062.7,168,81%,True,Entire condo,within a few hours
170,170,4.0,5.0,251,5.0,5.0,2.5,1062.7,171,81%,True,Entire condo,within a few hours
181,181,22.0,4.91,332,5.0,4.95,2.5,1062.7,182,0%,True,Entire home,within a day
186,186,25.0,5.0,365,4.92,4.92,1.0,2900.0,187,94%,True,Room in boutique hotel,within an hour
188,188,37.0,4.92,134,4.78,4.92,1.0,788.0,189,100%,True,Entire condo,within an hour
196,196,24.0,5.0,292,5.0,5.0,1.0,1300.0,197,86%,True,Private room in guest suite,within a day
198,198,20.2,4.94,136,4.93,4.94,1.5,1997.0,199,97%,True,Entire loft,within an hour
200,200,83.0,4.96,174,4.87,4.91,1.0,775.0,201,89%,True,Entire rental unit,within an hour
201,201,25.0,4.8,262,5.0,4.96,3.0,500.0,202,100%,True,Private room in rental unit,within an hour
204,204,20.2,4.94,274,4.9,4.93,1.0,600.0,205,100%,True,Private room in rental unit,within an hour
208,208,45.0,4.93,302,5.0,4.95,2.5,1499.0,209,100%,True,Entire loft,within an hour
